REF_AREA,TIME_PERIOD,Forest exposure to areas at risk of burning_Percentage of forested area,Amount of burned area_Percentage of land area,Population exposure to areas at risk of burning_Percentage of population,Land soil moisture anomaly_Percentage change,Cropland soil moisture anomaly_Percentage change,Fine particulate matter (PM2.5)_Microgrammes per cubic metre,Age-adjusted mortality rate_Total
ME10,-0.6315680149308056,2.3580362602830403,0.4541764918357854,0.7301938048847573,-0.7215221801455798,-0.3409003670419794,0.3197548457730229,10.14
RU10,1.1095521801486983,-0.6531818821785027,-0.24255549416075592,-0.2988041149912601,0.3218681099791227,0.3417011571457451,-0.40674270529799295,13.6
CO20,1.8060002581804997,1.5841784853078782,0.8522612798660819,0.8023008659058173,-1.0318111797288865,-1.054969342775787,-0.20313321368243845,8.04
GBR,0.41310410211689663,-0.6531818821785027,-0.31124128427900044,-0.2988041149912601,1.1152212564828257,1.618690098239654,-0.5143186350486275,7.76
RU47,0.41310410211689663,-0.6531818821785027,-0.3223065711728306,-0.2988041149912601,-0.2550839696745626,-0.3446459613705263,-0.13556947139632938,15.03
ES64,0.587216121624847,-0.030748468755872248,-0.3229612276348091,-0.2988041149912601,0.40700315252156655,0.40965671321324437,0.12783435092082754,7.75
ME09,-0.805680034438756,2.3368382188698114,-0.31497970301556233,-0.2988041149912601,-1.0394249137859979,-1.1554807466418726,1.3559093335049275,10.34
CAN,0.587216121624847,-0.5260699902824175,-0.115051898280896,-0.23780232880912094,-0.054920894753378045,-0.012140890078089245,-0.9908826926044204,6.87
EL63,0.0648800631009959,1.031749758913073,-0.3194986224186121,0.4833876489461763,1.3756758115005316,1.1049282371352667,0.33524546991913085,8.01
DEC,1.2836641996566485,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,-0.5020465756661122,-0.4921657003219609,-0.6170008401176595,8.29
JPF,-0.28334397591490484,-0.6531818821785027,-0.2816660161146141,-0.2988041149912601,0.3138373603536105,0.37051990376466426,-0.44041689056785815,6.25
BR09,0.587216121624847,0.995181916315359,0.13191099697594855,0.18155356140997034,-1.1717997917397198,-1.2251954095202224,-0.6025132523123902,9.11
PE25,-1.6762401319785079,-0.6531818821785027,-0.27022761572821963,-0.2988041149912601,0.521074338233841,0.48467434247265984,5.943286669433981,10.26
RU53,0.587216121624847,-0.6531818821785027,0.09761505261663267,-0.2988041149912601,0.7986946872802484,0.7909343317081446,-0.3575969723102889,13.8
CL02,0.23899208260894628,1.5386655992190272,-0.3229612276348091,-0.2988041149912601,4.053148064342999,4.013509427448588,-0.40692184311848717,6.98
NL32,-0.28334397591490484,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,0.670939746411685,0.6708745313322455,0.004342245931921532,8.19
FRG,0.587216121624847,-0.6531818821785027,-0.322422794533194,-0.2988041149912601,0.5027605112333694,0.5432138112666938,-0.6245728276013194,6.61
BE3,0.41310410211689663,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,0.7703808394544691,0.8162435554240569,-0.22404549419663383,8.97
CA24,-0.805680034438756,-0.6531818821785027,-0.0537086860257089,-0.2988040595063571,0.10827681392070461,0.1259911609103949,-0.5764902950743807,7.4
RO31,0.587216121624847,-0.4751295950926006,0.42941010666230633,-0.2988041149912601,-0.06543330021200115,0.007918347717343134,0.25388946999425765,11.57
CZ03,-0.6315680149308056,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,-0.40183639039715086,-0.36845623983935866,0.296148273741893,10.85
RU74,-0.9797920539467064,-0.5652297205546065,0.27486054267300275,0.35568374263399744,-0.14955271939551987,0.20862719941955768,0.35294579915282137,18.82
PE05,0.41310410211689663,-0.5698745427304732,-0.29350205158714443,-0.2988041149912601,-0.0426353059539761,-0.03502036192153058,1.5150252573084846,5.3
AT32,0.23899208260894628,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,0.13969390335858106,-0.2278086355376415,-0.24241067646290831,7.29
GRC,0.23899208260894628,0.7067949191299547,-0.0318983683342474,-0.1195609808244852,0.4365155252456759,0.40716391060336765,0.5853942223024585,7.75
ME11,0.7613281411327975,2.128304939947969,-0.23467640704866283,-0.2988041149912601,1.9804133388109046,1.6431299577316132,0.295951414032415,9.74
IL03,0.587216121624847,1.9670149810944026,-0.3229612276348091,-0.2988041149912601,-0.3365177295964072,-0.2776833519877605,0.23901437107509016,7.2
CA61,-1.1539040734546568,-0.6230150881318647,-0.2860181696510824,-0.16110534980463995,1.0419679465216927,1.037256452565927,-1.0076218068977092,11.35
RU41,-0.28334397591490484,-0.629956754803161,0.009334973141158272,-0.2988041149912601,-0.506975727707509,-0.7095904511236263,-0.5179086156680327,12.26
RU28,-0.9797920539467064,-0.6531818821785027,-0.12424384927443302,0.3888566793593507,-0.006166513372068017,-0.06774316172972016,0.08925526602025523,23.55
ES62,0.9354401606407478,2.258749700603979,-0.32208698369357813,-0.2988041149912601,-1.0887452718567863,-1.0239394344002146,-0.26566021451406124,7.08
PL51,1.2836641996566485,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,0.9308824514506038,0.9730180792215833,0.536343081308185,9.81
BR20,-1.1539040734546568,-0.03409587114927004,1.2561674439290416,0.5193240878763086,-0.9466368972384791,-1.0442679187834607,0.12073746809152158,12.23
RU11,0.23899208260894628,-0.5413217526653128,-0.24558911662045577,-0.2988041149912601,-0.7722233648161501,-0.7784368997937511,-0.18577659879241795,15.3
SK04,0.587216121624847,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,-0.7245533362666335,-0.7400555156015365,0.4502177485594186,10.79
CO19,0.9354401606407478,-0.27934586131318084,-0.2573917967059216,-0.2988041149912601,-0.023909512780670057,-0.0867382104916622,-0.4147972474020764,4.93
BR06,-0.28334397591490484,-0.5869627179357805,-0.08147117378984255,-0.14384957129688364,0.7218477178264603,0.8562695431375695,-0.3959479302195452,9.21
LT02,1.2836641996566485,-0.6531818821785027,-0.32283334203823394,-0.2988041149912601,0.9700491176283066,0.9732167371473404,-0.7158031480089013,10.96
HU11,-0.9797920539467064,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,0.6454211508533698,0.6786626435601502,0.8731168785583181,11.41
RU36,-0.28334397591490484,-0.6454479202019907,-0.23917109855920105,-0.2988041149912601,-0.23420102693472808,-0.42148113957581296,-0.4316184806395424,12.46
